Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
94,H27477_Cerebellum-1_SRR12554978_Microglia,0.656002168176,H27477,Microglia,Cerebellum,125
95,H27058_Cerebrum_SRR12355420_Ex-Neurons,0.596967922848,H27058,Ex-Neurons,Cerebrum,115
96,H27474_Cerebellum_SRR12355483_Astrocytes,0.631464680438,H27474,Astrocytes,Cerebellum,89
97,H27471_Cerebellum-3_SRR12508220_Astrocytes,0.734039829672,H27471,Astrocytes,Cerebellum,110
98,H27464_Cerebrum_SRR12355450_Oligodendrocytes,0.750274321753,H27464,Oligodendrocytes,Cerebrum,122
99,H27471_Cerebrum_SRR12355458_Blood-Cells,0.492427377307,H27471,Blood-Cells,Cerebrum,110
100,H27058_Cerebrum_SRR12355420_Oligodendrocytes,0.58579817009,H27058,Oligodendrocytes,Cerebrum,115
101,H27634_Cerebellum_SRR12355497_Microglia,0.587282019154,H27634,Microglia,Cerebellum,115
102,H27474_Cerebrum-4_SRR12575332_Neurons,0.881317079794,H27474,Neurons,Cerebrum,89
103,H27423_Cerebrum_SRR12355434_Vascular-Endo,0.920680609568,H27423,Vascular-Endo,Cerebrum,115
104,H27477_Cerebellum-2_SRR12554979_In-Interneurons,0.767512648437,H27477,In-Interneurons,Cerebellum,125
105,H27471_Cerebellum-4_SRR12508221_Vascular-Endo,0.781359107973,H27471,Vascular-Endo,Cerebellum,110
106,H27477_Cerebellum-4_SRR12554981_Astrocytes,0.832013479371,H27477,Astrocytes,Cerebellum,125
107,H27058_Cerebrum_SRR12355420_Microglia,0.586273173807,H27058,Microglia,Cerebrum,115
108,H27472_Cerebellum_SRR12355469_Ex-Neurons,0.745162687394,H27472,Ex-Neurons,Cerebellum,94
109,H27058_Cerebrum_SRR12355420_Astrocytes,0.730338484021,H27058,Astrocytes,Cerebrum,115
110,H27098_Cerebrum_SRR12355426_Ex-Neurons,0.577997141287,H27098,Ex-Neurons,Cerebrum,120
111,H27432_Cerebrum_SRR12355448_Ex-Neurons,1.29468261429,H27432,Ex-Neurons,Cerebrum,119
112,H27477_Cerebellum-3_SRR12554980_Oligodendrocytes,0.645252970124,H27477,Oligodendrocytes,Cerebellum,125
113,H27432_Cerebrum_SRR12355448_Neurons,0.984009840098,H27432,Neurons,Cerebrum,119
114,H27471_Cerebellum-3_SRR12508220_Oligodendrocytes,0.637535764694,H27471,Oligodendrocytes,Cerebellum,110
115,H27474_Cerebrum-3A_SRR12907909_Oligodendrocytes,0.587740183943,H27474,Oligodendrocytes,Cerebrum,89
116,H27471_Cerebellum-2_SRR12508219_Microglia,0.616851103902,H27471,Microglia,Cerebellum,110
117,H27471_Cerebellum-4_SRR12508221_Microglia,0.638564556184,H27471,Microglia,Cerebellum,110
118,H27474_Cerebellum_SRR12355483_Vascular-Endo,0.538276389332,H27474,Vascular-Endo,Cerebellum,89
119,H27423_Cerebrum_SRR12355434_Ex-Neurons,0.776145565789,H27423,Ex-Neurons,Cerebrum,115
120,H27431_Cerebrum_SRR12355440_In-Neurons,0.779943007957,H27431,In-Neurons,Cerebrum,110
121,H27431_Cerebrum_SRR12355440_Oligodendrocytes,0.643192875402,H27431,Oligodendrocytes,Cerebrum,110
122,H27471_Cerebellum-1_SRR12554895_Vascular-Endo,0.726382036353,H27471,Vascular-Endo,Cerebellum,110
123,H27058_Cerebrum_SRR12355420_In-Neurons,0.701179926845,H27058,In-Neurons,Cerebrum,115
124,H27471_Cerebellum-3_SRR12508220_Ex-Neurons,0.762834531121,H27471,Ex-Neurons,Cerebellum,110
125,H27474_Cerebrum-2_SRR12575330_Microglia,0.500018302919,H27474,Microglia,Cerebrum,89
126,H27474_Cerebrum-4_SRR12575332_Vascular-Endo,0.607543771865,H27474,Vascular-Endo,Cerebrum,89
127,H27432_Cerebrum_SRR12355448_Astrocytes,1.51749863202,H27432,Astrocytes,Cerebrum,119
128,H27098_Cerebrum_SRR12355426_Neurons,0.745216515609,H27098,Neurons,Cerebrum,120
129,H27431_Cerebrum_SRR12355440_Neurons,1.09397553749,H27431,Neurons,Cerebrum,110
130,H27471_Cerebellum-3_SRR12508220_In-Neurons,0.974506491677,H27471,In-Neurons,Cerebellum,110
131,H27471_Cerebellum-2_SRR12508219_In-Neurons,0.967687234897,H27471,In-Neurons,Cerebellum,110
132,H27471_Cerebrum_SRR12355458_Vascular-Endo,0.577772255713,H27471,Vascular-Endo,Cerebrum,110
133,H27474_Cerebrum-1_SRR12575329_Vascular-Endo,0.51451707017,H27474,Vascular-Endo,Cerebrum,89
134,H27474_Cerebrum-1_SRR12575329_Astrocytes,0.678742418209,H27474,Astrocytes,Cerebrum,89
135,H27477_Cerebellum-2_SRR12554979_Astrocytes,0.803274525402,H27477,Astrocytes,Cerebellum,125
136,H27474_Cerebrum-3B_SRR12904120_Oligodendrocytes,0.578193244427,H27474,Oligodendrocytes,Cerebrum,89
137,H27634_Cerebellum_SRR12355497_In-Interneurons,0.747941359302,H27634,In-Interneurons,Cerebellum,115
138,H27472_Cerebellum_SRR12355469_Neurons,0.863134451401,H27472,Neurons,Cerebellum,94
139,H27471_Cerebellum-3_SRR12508220_Vascular-Endo,0.749589894978,H27471,Vascular-Endo,Cerebellum,110
140,H27471_Cerebellum-2_SRR12508219_Astrocytes,0.727778134447,H27471,Astrocytes,Cerebellum,110
141,H27474_Cerebrum-2_SRR12575330_Oligodendrocytes,0.588238151032,H27474,Oligodendrocytes,Cerebrum,89
142,H27472_Cerebellum_SRR12355469_In-Interneurons,0.727774609885,H27472,In-Interneurons,Cerebellum,94
143,H27474_Cerebrum-1_SRR12575329_Neurons,0.805789731335,H27474,Neurons,Cerebrum,89
144,H27432_Cerebrum_SRR12355448_Oligodendrocytes,1.61107592396,H27432,Oligodendrocytes,Cerebrum,119
145,H27474_Cerebrum-3B_SRR12904120_Neurons,0.851321651819,H27474,Neurons,Cerebrum,89
146,H27474_Cerebrum-3B_SRR12904120_In-Neurons,0.843209469283,H27474,In-Neurons,Cerebrum,89
147,H27474_Cerebrum-3B_SRR12904120_Vascular-Endo,0.585601557593,H27474,Vascular-Endo,Cerebrum,89
