StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,5711sTS.Human.Forebrain.13w.Male,0.03560895,2.390666931,0.057354781,0.075513824,0.035170467,0.14440147
StrandedData,5956sTS.Human.Hindbrain.16w.Female,0.044354432,3.896766165,0.082883799,0.0741661,0.046460434,0.212021864
StrandedData,5517sTS.Human.Brain.50ypb.Male,0.051024035,3.110605854,0.071428533,0.126044031,0.048654271,0.189101259
StrandedData,5721sTS.Human.Forebrain.12w.Male,0.033724377,1.483151032,0.074289347,0.090784207,0.030358997,0.159090403
StrandedData,2015sTSb.Human.Testis.CS21.Male,0.042701978,2.200919185,0.072498968,0.062429537,0.037013415,0.173026716
StrandedData,3668sTS.Human.Hindbrain.11w.Male,0.038816542,2.311913726,0.071401565,0.095213715,0.035315816,0.164159768
StrandedData,6100sTS.Human.Heart.4ypb.Female,0.062518851,1.420070762,1.087421326,0.396667962,0.048866734,1.06211716
StrandedData,5514sTS.Human.Brain.58ypb.Male,0.052052815,3.147270766,0.090002809,0.1358648,0.054748108,0.213644286
StrandedData,5910sTS.Human.Liver.4w.Male,0.039981333,2.00754526,0.087502901,0.092324808,0.032680691,0.197168847
StrandedData,3672sTS.Human.Hindbrain.CS18.Male,0.036481549,1.307177791,0.069982732,0.08788345,0.032507904,0.160066355
StrandedData,5837sTS.Human.Brain.4ypb.Male,0.118499819,2.499916356,3.005090289,0.317451828,0.078225295,2.423746577
StrandedData,3585sTS.Human.Heart.12w.Female,0.045405499,0.874979661,0.552249127,0.082867552,0.034396171,0.477366548
StrandedData,6106sTS.Human.Liver.55ypb.Male,0.050200908,3.334414706,0.150045678,0.103189499,0.050154622,0.266920766
StrandedData,5846sTS.Human.Cerebellum.4ypb.Male,0.055306208,4.943345035,0.091036138,0.095898758,0.058800491,0.242984573
StrandedData,5777sTS.Human.Heart.19w.Male,0.024816308,1.303527432,0.041233722,0.058207332,0.023767851,0.106700091
StrandedData,5540sTS.Human.Cerebellum.29ypb.Male,0.062492327,4.342036187,0.088062367,0.0943906,0.061832018,0.238527758
StrandedData,5772sTS.Human.Liver.20w.Female,0.031876209,1.383982459,0.054389812,0.077318679,0.028620138,0.138353419
StrandedData,2046sTSb.Human.Liver.11w.Male,0.036402563,1.241621936,0.063928488,0.070953577,0.029871906,0.140380628
StrandedData,5562sTS.Human.Cerebellum.8ypb.Male,0.045989103,3.857376244,0.067198291,0.078991959,0.049449393,0.195423237
StrandedData,5700sTS.Human.Heart.16w.Male,0.032744525,1.355386704,0.103898183,0.106212235,0.026987009,0.175287046
StrandedData,2072sTSm.Human.Liver.9w.Male,0.043366365,1.233466804,0.0937472,0.101056846,0.038705815,0.187260742
StrandedData,5661sTS.Human.Kidney.16w.Female,0.032430572,1.894165833,0.059737434,0.072029581,0.029118808,0.139334125
StrandedData,3572sTS.Human.Hindbrain.CS20.Female,0.036107934,1.487380351,0.065277747,0.065789147,0.029287914,0.143101375
StrandedData,5709sTS.Human.Kidney.10w.Female,0.038973353,2.014146837,0.071347818,0.092962289,0.034564597,0.173578169
StrandedData,5955sTS.Human.Forebrain.13w.Female,0.036008185,1.589444463,0.081362359,0.066960583,0.030942222,0.181437501
