Sample	Gene	TPM
v1_nomultiseg_3676sTS_Human_Liver_CS17_Female_nomultiseg_bam	ADAR	189.566033632897
v1_nomultiseg_3677sTS_Human_Testis_CS18_Male_nomultiseg_bam	ADAR	212.900356263877
v1_nomultiseg_3769sTS_Human_Hindbrain_12w_Male_nomultiseg_bam	ADAR	190.542657200813
v1_nomultiseg_3770sTS_Human_Heart_12w_Male_nomultiseg_bam	ADAR	136.105124310999
v1_nomultiseg_3774sTS_Human_Ovary_12w_Female_nomultiseg_bam	ADAR	160.955162488189
v1_nomultiseg_3775sTS_Human_Testis_12w_Male_nomultiseg_bam	ADAR	171.622621539336
v1_nomultiseg_3776sTS_Human_Liver_12w_Male_nomultiseg_bam	ADAR	164.043610517574
v1_nomultiseg_3777sTS_Human_Heart_10w_Male_nomultiseg_bam	ADAR	126.755357004441
v1_nomultiseg_3779sTS_Human_Liver_11w_Female_nomultiseg_bam	ADAR	159.647191682686
v1_nomultiseg_5510sTS_Human_Cerebellum_4dpb_Male_nomultiseg_bam	ADAR	154.426492840402
v1_nomultiseg_5511sTS_Human_Cerebellum_13ypb_Male_nomultiseg_bam	ADAR	166.251989896193
v1_nomultiseg_5512sTS_Human_Liver_58ypb_Male_nomultiseg_bam	ADAR	118.856789923932
v1_nomultiseg_5513sTS_Human_Liver_7ypb_Male_nomultiseg_bam	ADAR	149.177451608465
v1_nomultiseg_5514sTS_Human_Brain_58ypb_Male_nomultiseg_bam	ADAR	116.06166261807
v1_nomultiseg_5515sTS_Human_Brain_14ypb_Male_nomultiseg_bam	ADAR	166.756907492749
v1_nomultiseg_5516sTS_Human_Cerebellum_53ypb_Male_nomultiseg_bam	ADAR	181.746509542842
v1_nomultiseg_5517sTS_Human_Brain_50ypb_Male_nomultiseg_bam	ADAR	142.855854763894
v1_nomultiseg_5518sTS_Human_Testis_55ypb_Male_nomultiseg_bam	ADAR	56.271733163406
v1_nomultiseg_5519sTS_Human_Cerebellum_15dpb_Female_nomultiseg_bam	ADAR	137.541313104625
v1_nomultiseg_5520sTS_Human_Cerebellum_29ypb_Male_nomultiseg_bam	ADAR	180.04962677367
v1_nomultiseg_5521sTS_Human_Brain_271dpb_Male_nomultiseg_bam	ADAR	190.889393407403
v1_nomultiseg_5522sTS_Human_Cerebellum_39ypb_Male_nomultiseg_bam	ADAR	172.711054086986
v1_nomultiseg_5523sTS_Human_Testis_270dpb_Male_nomultiseg_bam	ADAR	155.49366493237
v1_nomultiseg_5524sTS_Human_Brain_58ypb_Male_nomultiseg_bam	ADAR	145.924928607508
v1_nomultiseg_5525sTS_Human_Cerebellum_58ypb_Male_nomultiseg_bam	ADAR	104.616818509507
v1_nomultiseg_5526sTS_Human_Testis_16ypb_Male_nomultiseg_bam	ADAR	50.1095072839016
v1_nomultiseg_5527sTS_Human_Cerebellum_19dpb_Female_nomultiseg_bam	ADAR	157.467204477808
v1_nomultiseg_5528sTS_Human_Liver_221dpb_Male_nomultiseg_bam	ADAR	148.019897695498
v1_nomultiseg_5531sTS_Human_Brain_29ypb_Male_nomultiseg_bam	ADAR	152.158540934986
v1_nomultiseg_5532sTS_Human_Brain_16ypb_Male_nomultiseg_bam	ADAR	165.15860210666
v1_nomultiseg_5533sTS_Human_Brain_39ypb_Male_nomultiseg_bam	ADAR	152.96190107281
v1_nomultiseg_5534sTS_Human_Cerebellum_16ypb_Male_nomultiseg_bam	ADAR	154.17731803842
v1_nomultiseg_5535sTS_Human_Testis_29ypb_Male_nomultiseg_bam	ADAR	55.394931495866
v1_nomultiseg_5536sTS_Human_Liver_29ypb_Male_nomultiseg_bam	ADAR	153.51686403234
v1_nomultiseg_5537sTS_Human_Brain_8ypb_Male_nomultiseg_bam	ADAR	81.8095939435402
v1_nomultiseg_5539sTS_Human_Brain_221dpb_Male_nomultiseg_bam	ADAR	98.7923453422296
v1_nomultiseg_5540sTS_Human_Cerebellum_29ypb_Male_nomultiseg_bam	ADAR	157.114618453938
v1_nomultiseg_5542sTS_Human_Brain_19dpb_Female_nomultiseg_bam	ADAR	180.404913061075
v1_nomultiseg_5543sTS_Human_Brain_2ypb_Female_nomultiseg_bam	ADAR	73.7994988330565
